               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                 160,               1.729,             0.76348,                 1.5,              0.9785,             0.99792,              0.9873,             0.69038,                   0,                   0,                   0,            0.004753,            0.004753,            0.004753
                 161,              1.7168,             0.75316,              1.4975,             0.97729,             0.99671,             0.98773,             0.69061,                   0,                   0,                   0,             0.00472,             0.00472,             0.00472
                 162,              1.7242,             0.76534,              1.5078,             0.97582,             0.99671,             0.98849,             0.69117,                   0,                   0,                   0,            0.004687,            0.004687,            0.004687
                 163,              1.7111,             0.75152,              1.4942,             0.97676,             0.99471,             0.98877,             0.69397,                   0,                   0,                   0,            0.004654,            0.004654,            0.004654
                 164,               1.718,             0.75254,              1.5087,             0.97631,             0.99872,              0.9897,             0.69335,                   0,                   0,                   0,            0.004621,            0.004621,            0.004621
                 165,              1.7143,             0.75449,              1.4957,             0.97582,             0.99872,             0.98849,             0.69396,                   0,                   0,                   0,            0.004588,            0.004588,            0.004588
                 166,              1.7162,             0.75744,              1.4989,             0.97595,             0.99872,             0.98782,             0.69506,                   0,                   0,                   0,            0.004555,            0.004555,            0.004555
                 167,              1.7202,              0.7596,              1.5024,             0.97554,             0.99592,             0.98819,             0.69316,                   0,                   0,                   0,            0.004522,            0.004522,            0.004522
                 168,              1.7185,             0.76008,              1.5131,             0.97601,             0.99671,             0.98816,             0.69193,                   0,                   0,                   0,            0.004489,            0.004489,            0.004489
                 169,              1.7078,             0.75099,              1.5101,             0.97617,             0.99872,             0.98779,             0.69224,                   0,                   0,                   0,            0.004456,            0.004456,            0.004456
                 170,              1.7133,             0.75405,              1.5062,             0.97453,             0.99872,             0.98767,             0.69309,                   0,                   0,                   0,            0.004423,            0.004423,            0.004423
                 171,              1.7183,             0.75741,              1.4981,             0.97603,             0.99744,              0.9871,             0.68971,                   0,                   0,                   0,             0.00439,             0.00439,             0.00439
                 172,               1.709,             0.75421,              1.4957,             0.97615,             0.99872,             0.98725,              0.6913,                   0,                   0,                   0,            0.004357,            0.004357,            0.004357
                 173,               1.714,             0.75319,              1.5083,             0.97613,             0.99744,             0.98789,             0.69248,                   0,                   0,                   0,            0.004324,            0.004324,            0.004324
